,2022-04-02,2022-04-03,2022-04-04,2022-04-05,2022-04-08,2022-04-09,2022-04-10,2022-04-12,2022-04-14,2022-04-15,2022-04-17,2022-04-19,2022-04-20,2022-04-21,2022-04-23,2022-04-24,2022-04-28,2022-04-29,2022-04-30,2022-05-03,2022-05-06,2022-05-07,2022-05-08,2022-05-10,2022-05-11,2022-05-13,2022-05-16,2022-05-18,2022-05-19,2022-05-20,2022-05-21,2022-05-24
1,詹子賢 LF,詹子賢 LF,詹子賢 LF,江坤宇 SS,李聖裕 DH,詹子賢 LF,李聖裕 DH,李聖裕 DH,李聖裕 DH,詹子賢 LF,詹子賢 LF,詹子賢 LF,詹子賢 LF,詹子賢 LF,詹子賢 LF,詹子賢 LF,詹子賢 LF,黃鈞聲 C,詹子賢 LF,詹子賢 LF,詹子賢 LF,詹子賢 LF,詹子賢 LF,詹子賢 LF,詹子賢 LF,詹子賢 LF,詹子賢 LF,詹子賢 LF,詹子賢 LF,詹子賢 LF,詹子賢 LF,詹子賢 LF
2,許基宏 1B,許基宏 1B,許基宏 1B,陳子豪 RF,陳子豪 RF,陳子豪 RF,陳子豪 RF,陳子豪 RF,陳子豪 RF,陳子豪 RF,許基宏 1B,許基宏 1B,許基宏 1B,許基宏 1B,許基宏 1B,許基宏 1B,許基宏 1B,許基宏 1B,許基宏 1B,王威晨 2B,王威晨 2B,王威晨 2B,王威晨 2B,王威晨 2B,王威晨 2B,王威晨 2B,王威晨 2B,王威晨 2B,王威晨 2B,王威晨 2B,王威晨 2B,王威晨 2B
3,福來喜 C,李聖裕 CF,福來喜 C,詹子賢 LF,詹子賢 LF,李聖裕 CF,詹子賢 LF,詹子賢 LF,詹子賢 LF,李聖裕 CF,王威晨 2B,李聖裕 CF,李聖裕 CF,李聖裕 CF,李聖裕 CF,李聖裕 CF,李聖裕 CF,李聖裕 CF,李聖裕 CF,江坤宇 SS,江坤宇 SS,江坤宇 SS,江坤宇 SS,江坤宇 SS,江坤宇 SS,江坤宇 SS,江坤宇 SS,江坤宇 SS,江坤宇 SS,江坤宇 SS,江坤宇 SS,江坤宇 SS
4,江坤宇 SS,江坤宇 SS,江坤宇 SS,陳文杰 CF,陳文杰 CF,江坤宇 SS,陳文杰 CF,陳文杰 CF,陳文杰 CF,江坤宇 SS,江坤宇 SS,江坤宇 SS,江坤宇 SS,江坤宇 SS,江坤宇 SS,江坤宇 SS,江坤宇 SS,江坤宇 SS,江坤宇 SS,杜家明 3B,杜家明 3B,杜家明 3B,杜家明 3B,杜家明 3B,杜家明 3B,杜家明 3B,杜家明 3B,杜家明 3B,杜家明 3B,杜家明 3B,杜家明 3B,杜家明 3B
5,陳文杰 CF,福來喜 C,陳文杰 CF,王威晨 2B,江坤宇 SS,陳文杰 DH,江坤宇 SS,江坤宇 SS,江坤宇 SS,陳文杰 DH,陳子豪 RF,黃鈞聲 C,高宇杰 C,黃鈞聲 C,黃鈞聲 C,黃鈞聲 C,高宇杰 C,陳文杰 LF,黃鈞聲 C,高宇杰 C,高宇杰 C,陳子豪 RF,高宇杰 C,高宇杰 C,陳子豪 RF,高宇杰 C,高宇杰 C,陳子豪 RF,陳子豪 RF,高宇杰 C,高宇杰 C,高宇杰 C
6,王威晨 2B,王威晨 2B,王威晨 2B,福來喜 DH,福來喜 C,福來喜 C,福來喜 C,福來喜 C,福來喜 C,福來喜 C,張志豪 DH,王威晨 2B,王威晨 2B,王威晨 2B,王威晨 2B,王威晨 2B,王威晨 2B,王威晨 2B,王威晨 2B,張志豪 CF,張志豪 CF,張志豪 CF,張志豪 CF,張志豪 CF,張志豪 CF,張志豪 CF,張志豪 CF,張志豪 CF,張志豪 CF,張志豪 CF,張志豪 CF,張志豪 CF
7,陳子豪 RF,陳子豪 RF,陳子豪 RF,高宇杰 C,王威晨 2B,王威晨 2B,王威晨 2B,王威晨 2B,王威晨 2B,王威晨 2B,高宇杰 C,陳子豪 RF,陳子豪 RF,陳子豪 RF,陳子豪 RF,陳子豪 RF,陳子豪 RF,陳子豪 RF,陳子豪 RF,許基宏 1B,許基宏 1B,許基宏 1B,許基宏 1B,許基宏 1B,許基宏 1B,許基宏 1B,許基宏 1B,許基宏 1B,許基宏 1B,許基宏 1B,許基宏 1B,許基宏 1B
8,李聖裕 DH,陳文杰 DH,李聖裕 DH,潘志芳 3B,潘志芳 3B,潘志芳 3B,潘志芳 3B,潘志芳 3B,潘志芳 3B,潘志芳 3B,潘志芳 3B,陳文杰 DH,陳文杰 DH,陳文杰 DH,陳文杰 DH,陳文杰 DH,陳文杰 DH,詹子賢 DH,陳文杰 DH,陳子豪 RF,陳子豪 RF,黃鈞聲 C,陳子豪 RF,陳子豪 RF,黃鈞聲 C,陳子豪 RF,陳子豪 RF,黃鈞聲 C,黃鈞聲 C,陳子豪 RF,陳子豪 RF,陳子豪 RF
9,杜家明 3B,杜家明 3B,杜家明 3B,許基宏 1B,許基宏 1B,許基宏 1B,許基宏 1B,許基宏 1B,許基宏 1B,許基宏 1B,李聖裕 CF,杜家明 3B,杜家明 3B,杜家明 3B,杜家明 3B,杜家明 3B,杜家明 3B,杜家明 3B,杜家明 3B,陳文杰 DH,李聖裕 DH,李聖裕 DH,李聖裕 DH,李聖裕 DH,李聖裕 DH,李聖裕 DH,李聖裕 DH,李聖裕 DH,李聖裕 DH,李聖裕 DH,李聖裕 DH,李聖裕 DH
stage 1,1326.2766138559266,1326.2766138559266,3779.035259844204,3779.035259844204,3779.035259844204,3779.035259844204,3779.035259844204,2520.152436786724,2520.152436786724,2520.152436786724,2520.152436786724,2766.2408367548787,2766.2408367548787,2766.2408367548787,2766.2408367548787,2766.2408367548787,2054.6154025889928,2054.6154025889928,2054.6154025889928,2805.39249545954,2805.39249545954,2805.39249545954,2805.39249545954,2510.5360954045163,2510.5360954045163,2510.5360954045163,4005.948282519426,4005.948282519426,4005.948282519426,4005.948282519426,4005.948282519426,836.5866891861788
stage 1 wAVG,650.135595027415,650.135595027415,797.2648227519418,797.2648227519418,797.2648227519418,797.2648227519418,797.2648227519418,659.7257687923361,659.7257687923361,659.7257687923361,659.7257687923361,588.5618801606124,588.5618801606124,588.5618801606124,588.5618801606124,588.5618801606124,772.4118054845837,772.4118054845837,772.4118054845837,658.5428393097511,658.5428393097511,658.5428393097511,658.5428393097511,796.9955858427035,796.9955858427035,796.9955858427035,796.4111893676791,796.4111893676791,796.4111893676791,796.4111893676791,796.4111893676791,871.4444679022696
stage 2,3.13,3.13,3.13,3.0726842105263157,3.114684210526316,3.114684210526316,3.114684210526316,3.114684210526316,3.114684210526316,3.114684210526316,3.0936842105263156,3.081,3.047,3.081,3.081,3.081,3.047,3.081,3.081,3.108,3.109,3.1430000000000002,3.109,3.109,3.1430000000000002,3.109,3.109,3.1430000000000002,3.1430000000000002,3.109,3.109,3.109
