,2022-04-05,2022-04-07,2022-04-08,2022-04-09,2022-04-10,2022-04-12,2022-04-13,2022-04-15,2022-04-16,2022-04-17,2022-04-20,2022-04-21,2022-04-22,2022-04-24,2022-04-26,2022-04-27,2022-04-28,2022-04-30,2022-05-04,2022-05-05,2022-05-06,2022-05-09,2022-05-10,2022-05-11,2022-05-13,2022-05-15,2022-05-17,2022-05-19,2022-05-20,2022-05-21,2022-05-22,2022-05-24
1,成晉 LF,成晉 LF,梁家榮 3B,梁家榮 3B,梁家榮 3B,梁家榮 3B,梁家榮 3B,梁家榮 3B,成晉 LF,郭永維 2B,郭永維 2B,郭永維 2B,郭永維 2B,成晉 CF,成晉 CF,郭永維 2B,郭永維 2B,郭永維 2B,郭永維 2B,郭永維 2B,郭永維 2B,朱育賢 LF,朱育賢 LF,成晉 CF,朱育賢 LF,朱育賢 LF,朱育賢 LF,梁家榮 3B,朱育賢 LF,朱育賢 LF,朱育賢 LF,朱育賢 LF
2,林泓育 DH,嚴宏鈞 C,陳俊秀 1B,陳俊秀 1B,陳俊秀 1B,陳俊秀 1B,陳俊秀 1B,陳俊秀 1B,嚴宏鈞 C,梁家榮 3B,梁家榮 3B,梁家榮 3B,梁家榮 3B,梁家榮 3B,梁家榮 3B,梁家榮 3B,梁家榮 3B,梁家榮 3B,梁家榮 3B,梁家榮 3B,梁家榮 3B,梁家榮 3B,梁家榮 3B,梁家榮 3B,梁家榮 3B,梁家榮 3B,梁家榮 3B,嚴宏鈞 C,梁家榮 3B,梁家榮 3B,梁家榮 3B,梁家榮 3B
3,林立 RF,林立 RF,林立 RF,林立 RF,林立 RF,林立 RF,林立 RF,林立 RF,林立 RF,林立 RF,林立 RF,林立 RF,林立 RF,郭永維 2B,郭永維 2B,林立 RF,林立 RF,林立 RF,林立 RF,林立 RF,林立 RF,林立 RF,林立 RF,郭永維 2B,林立 RF,林立 RF,林立 RF,郭永維 2B,林立 RF,林立 RF,林立 RF,林立 RF
4,梁家榮 3B,陳晨威 CF,成晉 LF,成晉 LF,成晉 LF,成晉 LF,成晉 LF,成晉 LF,陳晨威 CF,成晉 CF,成晉 CF,成晉 CF,成晉 CF,林立 RF,林立 RF,成晉 CF,成晉 CF,成晉 CF,陳晨威 CF,陳晨威 CF,陳晨威 CF,成晉 CF,成晉 CF,嚴宏鈞 C,成晉 CF,成晉 CF,成晉 CF,林立 RF,成晉 CF,成晉 CF,成晉 CF,成晉 CF
5,陳晨威 CF,梁家榮 3B,郭永維 2B,郭永維 2B,郭永維 2B,郭永維 2B,郭永維 2B,郭永維 2B,梁家榮 3B,林泓育 C,林泓育 C,林泓育 C,林泓育 C,嚴宏鈞 C,嚴宏鈞 C,林泓育 C,林泓育 C,林泓育 C,林泓育 C,林泓育 C,林泓育 C,郭永維 2B,郭永維 2B,林立 RF,郭永維 2B,郭永維 2B,郭永維 2B,陳晨威 CF,郭永維 2B,郭永維 2B,郭永維 2B,郭永維 2B
6,郭永維 2B,郭永維 2B,陳晨威 CF,陳晨威 CF,陳晨威 CF,陳晨威 CF,陳晨威 CF,陳晨威 CF,郭永維 2B,朱育賢 LF,朱育賢 LF,朱育賢 LF,朱育賢 LF,朱育賢 LF,朱育賢 LF,朱育賢 LF,朱育賢 LF,朱育賢 LF,陳俊秀 1B,陳俊秀 1B,陳俊秀 1B,陳俊秀 1B,陳俊秀 1B,陳俊秀 1B,陳俊秀 1B,陳俊秀 1B,陳俊秀 1B,陳俊秀 1B,陳俊秀 1B,陳俊秀 1B,陳俊秀 1B,陳俊秀 1B
7,陳俊秀 1B,林泓育 DH,林泓育 C,林泓育 C,林泓育 C,林泓育 C,林泓育 C,林泓育 C,林泓育 DH,嚴宏鈞 DH,嚴宏鈞 DH,嚴宏鈞 DH,嚴宏鈞 DH,陳俊秀 1B,陳俊秀 1B,嚴宏鈞 DH,嚴宏鈞 DH,嚴宏鈞 DH,朱育賢 LF,朱育賢 LF,朱育賢 LF,陳晨威 DH,陳晨威 DH,朱育賢 LF,陳晨威 DH,陳晨威 DH,陳晨威 DH,朱育賢 LF,陳晨威 DH,陳晨威 DH,陳晨威 DH,陳晨威 DH
8,林承飛 SS,林承飛 SS,林承飛 SS,林承飛 SS,林承飛 SS,林承飛 SS,林承飛 SS,林承飛 SS,林承飛 SS,陳俊秀 1B,陳俊秀 1B,陳俊秀 1B,陳俊秀 1B,林泓育 DH,林泓育 DH,陳俊秀 1B,陳俊秀 1B,陳俊秀 1B,林承飛 SS,林承飛 SS,林承飛 SS,林承飛 SS,林承飛 SS,林承飛 SS,林承飛 SS,林承飛 SS,林承飛 SS,林承飛 SS,林承飛 SS,林承飛 SS,林承飛 SS,林承飛 SS
9,廖健富 C,陳俊秀 1B,嚴宏鈞 DH,嚴宏鈞 DH,嚴宏鈞 DH,嚴宏鈞 DH,嚴宏鈞 DH,嚴宏鈞 DH,陳俊秀 1B,馬傑森 SS,馬傑森 SS,馬傑森 SS,馬傑森 SS,馬傑森 SS,馬傑森 SS,馬傑森 SS,馬傑森 SS,馬傑森 SS,成晉 DH,成晉 DH,成晉 DH,林泓育 C,林泓育 C,林泓育 DH,林泓育 C,林泓育 C,林泓育 C,林泓育 DH,林泓育 C,林泓育 C,林泓育 C,林泓育 C
stage 1,4634.67433076678,4634.67433076678,4634.67433076678,4634.67433076678,4634.67433076678,3965.755472435671,3965.755472435671,3965.755472435671,3965.755472435671,3965.755472435671,3895.5934035614873,3895.5934035614873,3895.5934035614873,3895.5934035614873,3661.9029156543847,3661.9029156543847,3661.9029156543847,3661.9029156543847,2417.1992403961713,2417.1992403961713,2417.1992403961713,4332.5473969286,4332.5473969286,4332.5473969286,4332.5473969286,4332.5473969286,4395.856277000996,4395.856277000996,4395.856277000996,4395.856277000996,4395.856277000996,1074.5810832468612
stage 1 wAVG,844.2029746387577,844.2029746387577,844.2029746387577,844.2029746387577,844.2029746387577,831.3952772401825,831.3952772401825,831.3952772401825,831.3952772401825,831.3952772401825,869.5520990092605,869.5520990092605,869.5520990092605,869.5520990092605,888.8113872947536,888.8113872947536,888.8113872947536,888.8113872947536,866.3796560559754,866.3796560559754,866.3796560559754,927.7403419547325,927.7403419547325,927.7403419547325,927.7403419547325,927.7403419547325,925.4434267370517,925.4434267370517,925.4434267370517,925.4434267370517,925.4434267370517,934.4183332581403
stage 2,3.3200576923076923,3.2030576923076923,3.203057692307692,3.203057692307692,3.203057692307692,3.203057692307692,3.203057692307692,3.203057692307692,3.2030576923076923,3.2768360655737703,3.2768360655737703,3.2768360655737703,3.2768360655737703,3.2768360655737703,3.2768360655737703,3.2768360655737703,3.2768360655737703,3.2768360655737703,3.3210576923076918,3.3210576923076918,3.3210576923076918,3.3210576923076927,3.3210576923076927,3.2730576923076917,3.3210576923076927,3.3210576923076927,3.3210576923076927,3.305057692307692,3.3210576923076927,3.3210576923076927,3.3210576923076927,3.3210576923076927
