,2022-04-02,2022-04-03,2022-04-04,2022-04-05,2022-04-08,2022-04-10,2022-04-12,2022-04-13,2022-04-14,2022-04-16,2022-04-17,2022-04-20,2022-04-21,2022-04-22,2022-04-23,2022-04-26,2022-04-28,2022-04-29,2022-04-30,2022-05-01,2022-05-06,2022-05-07,2022-05-08,2022-05-10,2022-05-11,2022-05-12,2022-05-15,2022-05-17,2022-05-18,2022-05-19,2022-05-20,2022-05-22
1,林岱安 C,林岱安 C,林岱安 C,陳重羽 DH,邱智呈 RF,邱智呈 RF,邱智呈 RF,胡金龍 LF,胡金龍 LF,胡金龍 LF,胡金龍 LF,胡金龍 LF,胡金龍 LF,林岱安 C,胡金龍 LF,邱智呈 RF,吳桀睿 1B,邱智呈 RF,邱智呈 RF,邱智呈 RF,邱智呈 RF,邱智呈 RF,邱智呈 RF,邱智呈 RF,邱智呈 RF,吳桀睿 1B,邱智呈 RF,邱智呈 RF,胡金龍 LF,胡金龍 LF,陳重羽 C,胡金龍 LF
2,蘇智傑 DH,蘇智傑 DH,蘇智傑 DH,蘇智傑 LF,蘇智傑 DH,陳重羽 DH,陳鏞基 1B,陳鏞基 1B,陳鏞基 1B,郭阜林 1B,郭阜林 1B,郭阜林 1B,吳桀睿 1B,吳桀睿 1B,吳桀睿 1B,吳桀睿 1B,林岱安 C,吳桀睿 1B,吳桀睿 1B,吳桀睿 1B,吳桀睿 1B,吳桀睿 1B,吳桀睿 1B,吳桀睿 1B,吳桀睿 1B,柯育民 DH,吳桀睿 1B,吳桀睿 1B,陳鏞基 1B,陳鏞基 1B,胡金龍 LF,陳鏞基 1B
3,羅薩 1B,羅薩 1B,羅薩 1B,邱智呈 RF,陳重羽 C,林岱安 C,林岱安 C,邱智呈 RF,邱智呈 RF,柯育民 C,柯育民 C,柯育民 C,柯育民 C,陳鏞基 3B,柯育民 C,柯育民 C,李丞齡 LF,柯育民 C,柯育民 C,柯育民 C,柯育民 C,柯育民 C,柯育民 C,柯育民 C,柯育民 C,林岱安 C,柯育民 C,柯育民 C,邱智呈 RF,邱智呈 RF,陳鏞基 1B,邱智呈 RF
4,林焌翰 LF,林焌翰 LF,林焌翰 LF,羅薩 1B,胡金龍 LF,林靖凱 2B,林靖凱 2B,陳傑憲 CF,陳傑憲 CF,陳傑憲 CF,陳傑憲 CF,陳傑憲 CF,陳傑憲 CF,林靖凱 2B,陳傑憲 CF,陳傑憲 CF,林靖凱 2B,陳傑憲 CF,陳傑憲 CF,陳傑憲 CF,陳傑憲 CF,陳傑憲 CF,陳傑憲 CF,陳傑憲 CF,陳傑憲 CF,胡金龍 LF,陳傑憲 CF,陳傑憲 CF,陳傑憲 CF,陳傑憲 CF,林靖凱 2B,陳傑憲 CF
5,林靖凱 2B,林靖凱 2B,林靖凱 2B,林岱安 C,林靖凱 2B,羅薩 1B,胡金龍 LF,林岱安 DH,林岱安 DH,林靖凱 2B,林靖凱 2B,林靖凱 2B,林靖凱 2B,邱智呈 RF,林靖凱 2B,林岱安 DH,柯育民 DH,林岱安 DH,林岱安 DH,林岱安 DH,林岱安 DH,林岱安 DH,林岱安 DH,林岱安 DH,陳重羽 DH,林靖凱 2B,陳重羽 DH,陳重羽 DH,陳重羽 DH,陳重羽 DH,柯育民 DH,陳重羽 DH
6,林子豪 3B,林子豪 3B,林子豪 3B,林子豪 3B,林子豪 3B,林子豪 3B,林子豪 3B,林子豪 3B,林子豪 3B,林岱安 DH,林岱安 DH,林岱安 DH,林岱安 DH,柯育民 DH,林岱安 DH,林子豪 3B,林子豪 3B,林子豪 3B,林子豪 3B,林子豪 3B,林子豪 3B,林子豪 3B,林子豪 3B,林子豪 3B,林子豪 3B,林子豪 3B,林子豪 3B,林子豪 3B,林子豪 3B,林子豪 3B,林子豪 3B,林子豪 3B
7,陳重廷 SS,陳重廷 SS,陳重廷 SS,陳重廷 SS,陳重廷 SS,陳重廷 SS,陳重廷 SS,陳重廷 SS,陳重廷 SS,陳重廷 SS,陳重廷 SS,陳重廷 SS,陳重廷 3B,陳重廷 SS,陳重廷 3B,陳重廷 SS,陳重廷 SS,陳重廷 SS,陳重廷 SS,陳重廷 SS,陳重廷 SS,陳重廷 SS,陳重廷 SS,陳重廷 SS,陳重廷 SS,陳重廷 SS,陳重廷 SS,陳重廷 SS,陳重廷 SS,陳重廷 SS,陳重廷 SS,陳重廷 SS
8,邱智呈 RF,邱智呈 RF,邱智呈 RF,陳傑憲 CF,羅薩 1B,胡金龍 LF,陳傑憲 CF,柯育民 C,柯育民 C,邱智呈 RF,邱智呈 RF,邱智呈 RF,邱智呈 RF,胡金龍 LF,邱智呈 RF,林靖凱 2B,邱智呈 RF,林靖凱 2B,林靖凱 2B,林靖凱 2B,林靖凱 2B,林靖凱 2B,林靖凱 2B,林靖凱 2B,林靖凱 2B,邱智呈 RF,林靖凱 2B,林靖凱 2B,柯育民 C,柯育民 C,邱智呈 RF,柯育民 C
9,陳傑憲 CF,陳傑憲 CF,陳傑憲 CF,林靖凱 2B,陳傑憲 CF,陳傑憲 CF,陳重羽 DH,林靖凱 2B,林靖凱 2B,陳鏞基 3B,陳鏞基 3B,陳鏞基 3B,陳鏞基 SS,陳傑憲 CF,陳鏞基 SS,李丞齡 LF,陳傑憲 CF,李丞齡 LF,李丞齡 LF,李丞齡 LF,李丞齡 LF,李丞齡 LF,李丞齡 LF,李丞齡 LF,胡金龍 LF,陳傑憲 CF,胡金龍 LF,胡金龍 LF,林靖凱 2B,林靖凱 2B,陳傑憲 CF,林靖凱 2B
stage 1,1443.93712617395,1443.93712617395,2600.2436807821528,2600.2436807821528,2600.2436807821528,2600.2436807821528,3543.4825266666326,3543.4825266666326,3543.4825266666326,3543.4825266666326,3543.4825266666326,3164.521712521903,3164.521712521903,3164.521712521903,3164.521712521903,2968.9744568827036,2968.9744568827036,2968.9744568827036,2968.9744568827036,2968.9744568827036,2497.09524896274,2497.09524896274,2497.09524896274,2909.677318066825,2909.677318066825,2909.677318066825,2909.677318066825,3810.45024592123,3810.45024592123,3810.45024592123,3810.45024592123,3810.45024592123
stage 1 wAVG,721.968563086975,721.968563086975,724.3018609421038,724.3018609421038,724.3018609421038,724.3018609421038,730.6149539518831,730.6149539518831,730.6149539518831,730.6149539518831,730.6149539518831,785.2411197324822,785.2411197324822,785.2411197324822,785.2411197324822,645.4292297571094,645.4292297571094,645.4292297571094,645.4292297571094,645.4292297571094,723.7957243370261,723.7957243370261,723.7957243370261,694.4337274622495,694.4337274622495,694.4337274622495,694.4337274622495,724.4201988443403,724.4201988443403,724.4201988443403,724.4201988443403,724.4201988443403
stage 2,3.2814724093111187,3.2814724093111187,3.2814724093111187,3.2124724093111188,3.235472409311119,3.1816336996336996,2.9746336996336993,3.0856336996337,3.0856336996337,3.0695384615384613,3.0695384615384613,3.0695384615384613,3.0655384615384618,3.0655384615384613,3.0655384615384618,3.0186336996336993,3.0186336996336993,3.0186336996336993,3.0186336996336993,3.0186336996336993,3.0186336996336993,3.0186336996336993,3.0186336996336993,3.0186336996336993,3.091633699633699,3.1056336996336995,3.091633699633699,3.091633699633699,3.0716336996336997,3.0716336996336997,3.0716336996336997,3.0716336996336997
